data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.0,0.125,0.0,7,1
10,0.0,0.0,0.0,8,0
10,0.0,0.11764705882352941,0.0,15,2
20,0.0,0.3,0.0,14,6
20,0.0,0.12,0.0,22,3
20,0.6666666666666666,0.043478260869565216,0.011976047904191617,24,3
30,0.0,0.038461538461538464,0.0,25,1
30,0.3,0.22580645161290322,0.007425742574257425,26,10
30,0.2857142857142857,0.1388888888888889,0.005012531328320802,33,7
40,0.42105263157894735,0.3548387096774194,0.010680907877169559,27,19
40,0.3333333333333333,0.09302325581395349,0.0027137042062415195,41,6
40,0.7142857142857143,0.044444444444444446,0.006802721088435374,47,7
50,0.14285714285714285,0.10909090909090909,0.0008547008547008547,50,7
50,0.4117647058823529,0.19230769230769232,0.005967604433077579,49,17
50,0.0,0.1016949152542373,0.0,53,6
60,0.25,0.14285714285714285,0.0017574692442882249,57,12
60,0.0,0.03636363636363636,0.0,53,2
60,0.3125,0.1774193548387097,0.002927400468384075,56,16
70,0.3333333333333333,0.08,0.001282051282051282,71,9
70,0.25,0.05263157894736842,0.00042408821034775233,55,4
70,0.3333333333333333,0.1388888888888889,0.002134016218523261,66,15
80,0.14285714285714285,0.07894736842105263,0.00032425421530479895,71,7
80,0.2222222222222222,0.13333333333333333,0.001309328968903437,95,18
80,0.5454545454545454,0.06493506493506493,0.0019461563412260785,77,11
90,0.3333333333333333,0.14814814814814814,0.0015290519877675841,75,18
90,0.21428571428571427,0.11,0.0007682458386683739,92,14
90,0.2916666666666667,0.18681318681318682,0.0017884517118037812,81,24
100,0.25,0.16129032258064516,0.0010294420424130121,83,20
100,0.45454545454545453,0.05504587155963303,0.001032844453625284,107,11
100,0.08333333333333333,0.08870967741935484,0.00020721094073767094,114,12
