data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.7307692307692307,0.875,0.5135135135135135,19,26
10,0.5714285714285714,1.0,0.3333333333333333,12,21
10,0.45454545454545453,1.0,0.30303030303030304,10,22
10,0.6296296296296297,0.9090909090909091,0.5,18,27
10,0.7916666666666666,1.0,0.475,19,24
10,0.5,1.0,0.36363636363636365,12,24
10,0.5172413793103449,0.9333333333333333,0.5,15,29
10,0.38461538461538464,1.0,0.13513513513513514,5,13
10,0.56,1.0,0.4117647058823529,14,25
10,0.47619047619047616,1.0,0.29411764705882354,10,21
20,0.8555555555555555,1.0,0.4350282485875706,77,90
20,0.6078431372549019,1.0,0.18235294117647058,31,51
20,0.6923076923076923,0.9411764705882353,0.20809248554913296,36,52
20,0.574468085106383,1.0,0.1588235294117647,27,47
20,0.6666666666666666,1.0,0.2485207100591716,42,63
20,0.5490196078431373,0.9583333333333334,0.1686746987951807,28,51
20,0.6176470588235294,1.0,0.11864406779661017,21,34
20,0.6585365853658537,0.9333333333333333,0.15428571428571428,27,41
20,0.6326530612244898,1.0,0.18023255813953487,31,49
20,0.6,1.0,0.25925925925925924,42,70
30,0.6018518518518519,0.9772727272727273,0.16624040920716113,66,108
30,0.5476190476190477,1.0,0.11586901763224182,46,84
30,0.7391304347826086,0.96,0.16585365853658537,69,92
30,0.7669172932330827,1.0,0.2524752475247525,102,133
30,0.7321428571428571,0.967741935483871,0.20297029702970298,82,112
30,0.7457627118644068,1.0,0.21728395061728395,88,118
30,0.6444444444444445,1.0,0.14392059553349876,58,90
30,0.7628865979381443,0.9583333333333334,0.18004866180048662,74,97
30,0.6162790697674418,0.9428571428571428,0.1325,53,86
30,0.6853932584269663,0.875,0.1513647642679901,62,89
40,0.7630057803468208,1.0,0.17861975642760486,132,173
40,0.827027027027027,1.0,0.20454545454545456,153,185
40,0.75,0.9705882352941176,0.13270777479892762,99,132
40,0.7530120481927711,0.9761904761904762,0.16937669376693767,125,166
40,0.8023255813953488,0.9714285714285714,0.18523489932885906,138,172
40,0.7740112994350282,1.0,0.18513513513513513,137,177
40,0.7857142857142857,1.0,0.1774193548387097,132,168
40,0.7943262411347518,0.9666666666666667,0.14933333333333335,113,141
40,0.6422764227642277,1.0,0.10733695652173914,79,123
40,0.7747252747252747,1.0,0.19079837618403248,141,182
50,0.8186528497409327,0.9459459459459459,0.132996632996633,159,193
50,0.8670520231213873,1.0,0.2544529262086514,300,346
50,0.8511326860841424,1.0,0.22307039864291772,263,309
50,0.8311258278145696,0.9807692307692307,0.21398124467178176,251,302
50,0.8446601941747572,0.96,0.2221276595744681,262,309
50,0.7941176470588235,0.98,0.16085106382978723,189,238
50,0.8246268656716418,1.0,0.18760611205432937,221,268
50,0.792,0.9811320754716981,0.1689419795221843,199,250
50,0.7684210526315789,0.9565217391304348,0.12383375742154368,146,190
50,0.8258706467661692,0.9722222222222222,0.13961312026913372,166,201
60,0.8978260869565218,0.9215686274509803,0.24025596276905178,414,460
60,0.8131578947368421,0.9726027397260274,0.1820860341779611,311,380
60,0.8286604361370716,0.9649122807017544,0.15528312901342672,266,321
60,0.7790697674418605,1.0,0.11733800350262696,201,258
60,0.8455882352941176,0.984375,0.2022274325908558,345,408
60,0.7686567164179104,0.96875,0.12075029308323564,206,268
60,0.861244019138756,0.9830508474576272,0.2104032729398013,361,418
60,0.8552631578947368,0.9821428571428571,0.1896149358226371,325,380
60,0.8611898016997167,1.0,0.17664148750726322,304,353
60,0.7523510971786834,0.9634146341463414,0.14218009478672985,241,319
70,0.8762711864406779,0.9605263157894737,0.22103463018383926,517,590
70,0.800561797752809,0.9726027397260274,0.12169086251067464,286,356
70,0.8177083333333334,0.9859154929577465,0.13395904436860068,314,384
70,0.8807531380753139,0.9661016949152542,0.17869269949066213,421,478
70,0.8814814814814815,0.9552238805970149,0.20272572402044292,477,540
70,0.8155844155844156,0.9466666666666667,0.13418803418803418,315,385
70,0.8186666666666667,0.9577464788732394,0.1309726962457338,308,375
70,0.8385964912280702,0.9583333333333334,0.10097169412758766,239,285
70,0.9062980030721967,0.9838709677419355,0.25074373140671485,590,651
70,0.8515625,0.9047619047619048,0.13903061224489796,328,384
80,0.8362068965517241,0.95,0.12597402597402596,390,464
80,0.8756302521008403,0.925,0.16915584415584414,525,595
80,0.8413654618473896,0.9753086419753086,0.13608314387788242,421,498
80,0.8675721561969439,0.975,0.16590909090909092,511,589
80,0.9222707423580786,0.967391304347826,0.34419817470664926,1056,1145
80,0.8747884940778342,0.925,0.16785714285714284,520,591
80,0.8825910931174089,0.9775280898876404,0.21295994789970693,655,741
80,0.8414634146341463,0.9629629629629629,0.13445924001299123,414,492
80,0.8634751773049646,0.9625,0.15811688311688313,488,564
80,0.875,1.0,0.1562601099967648,483,552
90,0.9333333333333333,0.96,0.2564885496183206,1008,1080
90,0.9234275296262534,1.0,0.2583524611068605,1013,1097
90,0.9400352733686067,0.9577464788732394,0.2709710218607016,1068,1134
90,0.9381974248927039,0.972972972972973,0.2780462986517426,1093,1165
90,0.9025821596244131,0.9764705882352941,0.1961734693877551,770,852
90,0.9361525704809287,0.9506172839506173,0.28771661569826706,1132,1206
90,0.9069767441860465,0.9787234042553191,0.22935310662234723,897,989
90,0.8978102189781022,0.9459459459459459,0.15644874077842788,616,685
90,0.9138297872340425,0.9418604651162791,0.21918856851237561,860,940
90,0.937973811164714,0.9782608695652174,0.34781497572195247,1361,1451
100,0.9032882011605415,0.9615384615384616,0.19273627734213786,935,1034
100,0.911864406779661,0.9285714285714286,0.22240595287308806,1082,1180
100,0.8850129198966409,0.978021978021978,0.1409755093640667,685,774
100,0.9427966101694916,0.9642857142857143,0.27435265104808876,1336,1416
100,0.9437308868501529,0.9583333333333334,0.31788215904408734,1545,1635
100,0.9506493506493506,0.8941176470588236,0.30092497430626924,1467,1540
100,0.9239412273120138,0.9166666666666666,0.22023073753605274,1072,1157
100,0.9154315605928509,0.9326923076923077,0.21667354519191084,1053,1147
100,0.9176245210727969,0.9247311827956989,0.19724109532633313,960,1044
