data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.0,0.75,0.0,2,6
10,0.21052631578947367,1.0,0.13333333333333333,4,19
10,0.0,0.6666666666666666,0.0,3,6
10,0.0,0.5555555555555556,0.0,4,5
10,0.1111111111111111,0.8888888888888888,0.027777777777777776,2,9
10,0.14285714285714285,0.5454545454545454,0.029411764705882353,6,7
10,0.0,0.8571428571428571,0.0,1,6
10,0.0,0.7777777777777778,0.0,2,7
10,0.14285714285714285,0.6666666666666666,0.027777777777777776,4,7
10,0.0,0.7142857142857143,0.0,2,5
20,0.0,0.44,0.0,14,11
20,0.0,0.75,0.0,6,18
20,0.06666666666666667,0.7777777777777778,0.005813953488372093,5,15
20,0.1111111111111111,0.5714285714285714,0.005681818181818182,7,9
20,0.0,0.4,0.0,12,8
20,0.0,0.7647058823529411,0.0,4,13
20,0.23684210526315788,0.8787878787878788,0.05732484076433121,12,38
20,0.07692307692307693,0.6666666666666666,0.005813953488372093,7,13
20,0.18181818181818182,0.75,0.011235955056179775,5,11
20,0.0625,0.7894736842105263,0.005847953216374269,5,16
30,0.25,0.9166666666666666,0.02756892230576441,14,44
30,0.16216216216216217,0.8611111111111112,0.015037593984962405,11,37
30,0.0,0.64,0.0,9,16
30,0.043478260869565216,0.8148148148148148,0.0024509803921568627,6,23
30,0.25,0.5454545454545454,0.009685230024213076,13,16
30,0.08695652173913043,0.7,0.0049382716049382715,11,23
30,0.1,0.6,0.0049382716049382715,13,20
30,0.0,0.7407407407407407,0.0,7,20
30,0.08,0.8846153846153846,0.004889975550122249,5,25
30,0.045454545454545456,0.84,0.0024390243902439024,5,22
40,0.1,0.5806451612903226,0.0026702269692923898,14,20
40,0.0,0.8076923076923077,0.0,5,21
40,0.125,0.7777777777777778,0.008264462809917356,17,48
40,0.09302325581395349,0.8478260869565217,0.005449591280653951,11,43
40,0.05263157894736842,0.8372093023255814,0.0027137042062415195,9,38
40,0.047619047619047616,0.7407407407407407,0.0027548209366391185,15,42
40,0.08823529411764706,0.8378378378378378,0.004037685060565276,9,34
40,0.0,0.6129032258064516,0.0,12,19
40,0.0,0.6944444444444444,0.0,11,25
40,0.05405405405405406,0.7777777777777778,0.0027210884353741495,12,37
50,0.0625,0.6818181818181818,0.001693480101608806,15,32
50,0.0,0.6415094339622641,0.0,19,34
50,0.0,0.8444444444444444,0.0,7,38
50,0.06060606060606061,0.5961538461538461,0.0017050298380221654,22,33
50,0.21739130434782608,0.72,0.00851063829787234,22,46
50,0.15384615384615385,0.6875,0.0068906115417743325,27,52
50,0.0,0.7105263157894737,0.0,11,27
50,0.04878048780487805,0.7647058823529411,0.0017035775127768314,14,41
50,0.041666666666666664,0.8070175438596491,0.0017123287671232876,13,48
50,0.030303030303030304,0.7441860465116279,0.0008460236886632825,12,33
60,0.061224489795918366,0.7076923076923077,0.0017595307917888563,22,49
60,0.03773584905660377,0.8360655737704918,0.0011702750146284377,12,53
60,0.07547169811320754,0.7,0.002352941176470588,24,53
60,0.075,0.6271186440677966,0.0017533606078316774,25,40
60,0.0,0.6440677966101694,0.0,21,38
60,0.1527777777777778,0.9104477611940298,0.0064591896652965355,17,72
60,0.08695652173913043,0.6666666666666666,0.0023432923257176333,24,46
60,0.13513513513513514,0.8311688311688312,0.005906674542232723,23,74
60,0.02040816326530612,0.8135593220338984,0.0005844535359438924,12,49
60,0.046511627906976744,0.7068965517241379,0.0011682242990654205,19,43
70,0.06779661016949153,0.7534246575342466,0.0017079419299743809,21,59
70,0.06779661016949153,0.7051282051282052,0.0017115960633290544,26,59
70,0.1111111111111111,0.7567567567567568,0.00299017513882956,25,63
70,0.08571428571428572,0.6274509803921569,0.0012690355329949238,21,35
70,0.125,0.9491525423728814,0.003395585738539898,10,64
70,0.06666666666666667,0.9180327868852459,0.0016992353440951572,9,60
70,0.05172413793103448,0.7638888888888888,0.0012804097311139564,20,58
70,0.09090909090909091,0.8860759493670886,0.0029965753424657533,16,77
70,0.24719101123595505,0.7790697674418605,0.009446114212108201,39,89
70,0.2222222222222222,0.8641975308641975,0.00856898029134533,31,90
80,0.029850746268656716,0.7738095238095238,0.0006501950585175553,21,67
80,0.043478260869565216,0.7333333333333333,0.000977198697068404,27,69
80,0.045454545454545456,0.75,0.0009752925877763329,24,66
80,0.08955223880597014,0.7922077922077922,0.0019461563412260785,22,67
80,0.03896103896103896,0.8222222222222222,0.000977198697068404,19,77
70,0.125,0.9491525423728814,0.003395585738539898,10,64
80,0.08333333333333333,0.7971014492753623,0.0016175994823681655,18,60
80,0.1,0.6716417910447762,0.0016165535079211122,26,50
80,0.075,0.8409090909090909,0.001953125,20,80
80,0.17391304347826086,0.8351648351648352,0.005213424568263278,31,92
80,0.10869565217391304,0.5694444444444444,0.0016191709844559584,36,46
90,0.0759493670886076,0.7604166666666666,0.0015349194167306216,27,79
90,0.13402061855670103,0.9333333333333333,0.0033205619412515963,19,97
90,0.07058823529411765,0.8229166666666666,0.0015349194167306216,23,85
90,0.18055555555555555,0.6210526315789474,0.0033248081841432226,49,72
90,0.0967741935483871,0.6363636363636364,0.0015317845289762573,38,62
90,0.06097560975609756,0.8369565217391305,0.001277791975466394,19,82
90,0.14473684210526316,0.7065217391304348,0.002811142346026067,38,76
90,0.10256410256410256,0.7070707070707071,0.002048131080389145,34,78
100,0.038461538461538464,0.8241758241758241,0.0006174109899156205,19,78
100,0.07291666666666667,0.839622641509434,0.001445086705202312,23,96
100,0.0136986301369863,0.7741935483870968,0.00020588840848260242,22,73
