data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.0,0.75,0.0,2,6
10,0.17647058823529413,0.9333333333333333,0.1,4,17
10,0.0,0.6666666666666666,0.0,3,6
10,0.0,0.5555555555555556,0.0,4,5
10,0.1111111111111111,0.8888888888888888,0.027777777777777776,2,9
10,0.0,0.45454545454545453,0.0,6,5
10,0.0,0.7142857142857143,0.0,2,5
10,0.0,0.7777777777777778,0.0,2,7
10,0.14285714285714285,0.6666666666666666,0.027777777777777776,4,7
10,0.0,0.7142857142857143,0.0,2,5
20,0.0,0.44,0.0,14,11
20,0.0,0.75,0.0,6,18
20,0.06666666666666667,0.7777777777777778,0.005813953488372093,5,15
20,0.1111111111111111,0.5714285714285714,0.005681818181818182,7,9
20,0.0,0.4,0.0,12,8
20,0.0,0.7647058823529411,0.0,4,13
20,0.23684210526315788,0.8787878787878788,0.05732484076433121,12,38
20,0.07692307692307693,0.6666666666666666,0.005813953488372093,7,13
20,0.0,0.6666666666666666,0.0,4,8
20,0.07692307692307693,0.631578947368421,0.005847953216374269,8,13
30,0.25,0.9166666666666666,0.02756892230576441,14,44
30,0.034482758620689655,0.7777777777777778,0.002506265664160401,9,29
30,0.0,0.64,0.0,9,16
30,0.05263157894736842,0.6666666666666666,0.0024509803921568627,10,19
30,0.25,0.5454545454545454,0.009685230024213076,13,16
30,0.09523809523809523,0.6333333333333333,0.0049382716049382715,13,21
30,0.1,0.6,0.0049382716049382715,13,20
30,0.0,0.7407407407407407,0.0,7,20
30,0.0,0.8461538461538461,0.0,4,22
30,0.0,0.76,0.0,6,19
40,0.1,0.5806451612903226,0.0026702269692923898,14,20
40,0.0,0.8076923076923077,0.0,5,21
40,0.125,0.7777777777777778,0.008264462809917356,17,48
40,0.09302325581395349,0.8478260869565217,0.005449591280653951,11,43
40,0.05263157894736842,0.8372093023255814,0.0027137042062415195,9,38
40,0.047619047619047616,0.7407407407407407,0.0027548209366391185,15,42
40,0.08823529411764706,0.8378378378378378,0.004037685060565276,9,34
40,0.0,0.6129032258064516,0.0,12,19
40,0.0,0.6944444444444444,0.0,11,25
40,0.05405405405405406,0.7777777777777778,0.0027210884353741495,12,37
50,0.0625,0.6818181818181818,0.001693480101608806,15,32
50,0.0,0.6415094339622641,0.0,19,34
50,0.0,0.8444444444444444,0.0,7,38
50,0.06060606060606061,0.5961538461538461,0.0017050298380221654,22,33
50,0.21739130434782608,0.72,0.00851063829787234,22,46
50,0.12,0.6875,0.00516795865633075,25,50
50,0.0,0.7105263157894737,0.0,11,27
50,0.04878048780487805,0.7647058823529411,0.0017035775127768314,14,41
50,0.041666666666666664,0.8070175438596491,0.0017123287671232876,13,48
50,0.030303030303030304,0.7441860465116279,0.0008460236886632825,12,33
60,0.061224489795918366,0.7076923076923077,0.0017595307917888563,22,49
60,0.03773584905660377,0.8360655737704918,0.0011702750146284377,12,53
60,0.022222222222222223,0.6285714285714286,0.000588235294117647,26,45
60,0.075,0.6271186440677966,0.0017533606078316774,25,40
60,0.0,0.6440677966101694,0.0,21,38
60,0.1527777777777778,0.9104477611940298,0.0064591896652965355,17,72
60,0.08695652173913043,0.6666666666666666,0.0023432923257176333,24,46
60,0.13513513513513514,0.8311688311688312,0.005906674542232723,23,74
60,0.02040816326530612,0.8135593220338984,0.0005844535359438924,12,49
60,0.046511627906976744,0.7068965517241379,0.0011682242990654205,19,43
70,0.06779661016949153,0.7534246575342466,0.0017079419299743809,21,59
70,0.06779661016949153,0.7051282051282052,0.0017115960633290544,26,59
70,0.0967741935483871,0.7567567567567568,0.0025630072618539087,24,62
70,0.08571428571428572,0.6274509803921569,0.0012690355329949238,21,35
70,0.125,0.9491525423728814,0.003395585738539898,10,64
70,0.03571428571428571,0.8852459016393442,0.0008496176720475786,9,56
70,0.06779661016949153,0.7638888888888888,0.0017072129748186087,21,59
70,0.09210526315789473,0.8734177215189873,0.0029965753424657533,17,76
70,0.20987654320987653,0.7441860465116279,0.0072992700729927005,37,81
70,0.2222222222222222,0.8641975308641975,0.00856898029134533,31,90
80,0.029850746268656716,0.7738095238095238,0.0006501950585175553,21,67
80,0.0,0.6666666666666666,0.0,30,60
80,0.045454545454545456,0.75,0.0009752925877763329,24,66
80,0.04838709677419355,0.7662337662337663,0.0009730781706130393,21,62
80,0.015625,0.7,0.0003257328990228013,28,64
