data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.3,0.875,0.08108108108108109,3,10
10,0.0,1.0,0.0,0,15
10,0.1,1.0,0.027777777777777776,1,10
10,0.18181818181818182,1.0,0.05555555555555555,2,11
10,0.1,1.0,0.027777777777777776,1,10
10,0.0,1.0,0.0,0,11
10,0.0,1.0,0.0,0,7
10,0.25,1.0,0.08333333333333333,3,12
10,0.18181818181818182,1.0,0.05555555555555555,2,11
10,0.5,1.0,0.18421052631578946,7,14
20,0.425,0.92,0.10303030303030303,17,40
20,0.29411764705882354,1.0,0.060240963855421686,10,34
20,0.3076923076923077,1.0,0.046511627906976744,8,26
20,0.17647058823529413,1.0,0.017045454545454544,3,17
20,0.2962962962962963,0.95,0.047058823529411764,8,27
20,0.2727272727272727,0.9411764705882353,0.03468208092485549,7,22
20,0.2727272727272727,0.9696969696969697,0.07643312101910828,12,44
20,0.3333333333333333,1.0,0.05232558139534884,9,27
20,0.3684210526315789,1.0,0.03932584269662921,7,19
20,0.39285714285714285,0.8947368421052632,0.06432748538011696,13,28
30,0.5,0.9444444444444444,0.08521303258145363,35,68
30,0.4857142857142857,1.0,0.08521303258145363,34,70
30,0.358974358974359,1.0,0.03414634146341464,14,39
30,0.543859649122807,0.9629629629629629,0.07598039215686274,31,57
30,0.5686274509803921,1.0,0.07021791767554479,29,51
30,0.5,1.0,0.07407407407407407,30,60
30,0.5573770491803278,0.9,0.08395061728395062,35,61
30,0.425531914893617,1.0,0.049019607843137254,20,47
30,0.5,1.0,0.06356968215158924,26,52
30,0.5689655172413793,1.0,0.08048780487804878,33,58
40,0.5866666666666667,1.0,0.05874499332443257,44,75
40,0.6571428571428571,0.9230769230769231,0.0610079575596817,46,70
40,0.5277777777777778,0.9444444444444444,0.07851239669421488,58,108
40,0.5904761904761905,0.9347826086956522,0.08446866485013624,63,105
40,0.6111111111111112,0.9767441860465116,0.08955223880597014,67,108
40,0.49514563106796117,0.9629629629629629,0.07024793388429752,52,103
40,0.5333333333333333,0.9459459459459459,0.05383580080753701,41,75
40,0.6590909090909091,0.967741935483871,0.0774365821094793,59,88
40,0.6091954022988506,0.9444444444444444,0.07123655913978495,54,87
40,0.671875,0.9333333333333333,0.11700680272108843,86,128
50,0.7337662337662337,0.9318181818181818,0.09568162574089754,114,154
50,0.7058823529411765,0.9433962264150944,0.10238907849829351,121,170
50,0.7,1.0,0.08898305084745763,105,150
50,0.6809815950920245,1.0,0.09462915601023018,111,163
50,0.673469387755102,0.96,0.08425531914893616,100,147
50,0.6740331491712708,0.921875,0.10508182601205857,124,181
50,0.6935483870967742,1.0,0.07245155855096883,86,124
50,0.7125748502994012,0.9411764705882353,0.10136286201022146,121,167
50,0.631578947368421,0.9824561403508771,0.0821917808219178,96,152
50,0.6911764705882353,0.9767441860465116,0.07952622673434856,94,136
60,0.7728937728937729,0.9538461538461539,0.12375366568914956,213,273
60,0.7456896551724138,0.9672131147540983,0.10122878876535986,173,232
60,0.7490774907749077,0.9714285714285714,0.11941176470588236,205,271
60,0.730593607305936,1.0,0.09351256575102279,160,219
60,0.7272727272727273,0.9661016949152542,0.08883693746347165,152,209
60,0.7686832740213523,0.9701492537313433,0.1268349970640047,217,281
60,0.7890909090909091,0.9206349206349206,0.1271236086701816,221,275
60,0.7914285714285715,0.948051948051948,0.16361488481984643,279,350
60,0.7840909090909091,0.9661016949152542,0.12098188194038574,207,264
60,0.7544642857142857,0.9482758620689655,0.09871495327102804,169,224
70,0.7770491803278688,0.9315068493150684,0.10119555935098207,240,305
70,0.8249400479616307,0.9358974358974359,0.14719726144629866,348,417
70,0.8388625592417062,0.918918918918919,0.1512174284493806,357,422
70,0.8383838383838383,0.9411764705882353,0.10532994923857868,250,297
70,0.8240740740740741,0.9661016949152542,0.1133276740237691,268,324
70,0.8208955223880597,0.9836065573770492,0.11682242990654206,276,335
70,0.8206521739130435,0.9166666666666666,0.12889457959880496,303,368
70,0.8259860788863109,0.9493670886075949,0.1523972602739726,356,431
70,0.8154897494305239,0.9418604651162791,0.15371404036066982,360,439
70,0.7891891891891892,0.9629629629629629,0.12510711225364182,293,370
80,0.8625429553264605,0.9523809523809523,0.16319895968790638,504,582
80,0.8537005163511188,0.9444444444444444,0.16156351791530946,498,581
80,0.8275862068965517,0.9523809523809523,0.12483745123537061,385,464
80,0.8644366197183099,1.0,0.15926046059033408,491,568
80,0.8583765112262521,0.9111111111111111,0.16188925081433225,502,579
80,0.8907563025210085,0.9420289855072463,0.17146554513102555,532,595
80,0.8833652007648184,0.9104477611940298,0.14936954413191075,462,523
80,0.8821022727272727,0.9431818181818182,0.2021484375,623,704
80,0.8452173913043478,0.978021978021978,0.15835777126099707,486,575
80,0.8537117903930131,0.9305555555555556,0.12661917098445596,394,458
90,0.9017857142857143,0.9166666666666666,0.20670248145305706,810,896
90,0.8913043478260869,0.9444444444444444,0.17803320561941252,700,782
90,0.8880597014925373,0.9375,0.18265541059094398,719,804
90,0.8919597989949749,0.9052631578947369,0.1815856777493606,714,796
90,0.9092920353982301,0.9318181818181818,0.20985448046974725,825,904
90,0.8938271604938272,0.9347826086956522,0.18502427804753385,727,810
90,0.9063509149623251,0.9456521739130435,0.21518016866854076,845,929
90,0.8840937114673243,0.9494949494949495,0.1835637480798771,718,811
100,0.9250871080139372,0.945054945054945,0.21856349043012965,1064,1148
100,0.9217877094972067,0.9245283018867925,0.2384393063583815,1159,1253
100,0.9258289703315882,0.9139784946236559,0.21844760140004119,1066,1146
100,0.9123468426013195,0.8773584905660378,0.19983484723369116,975,1061
100,0.9004366812227074,0.991304347826087,0.21323681489141674,1031,1145
100,0.9228675136116152,0.9340659340659341,0.20930232558139536,1022,1102
